building_type,dwelling_type,period_built,inferred_floor_area_m2,inferred_ber,energy_kwh_per_m2_year,inferred_fossil_fuel_mwh_per_year,inferred_electricity_mwh_per_year,inferred_energy_mwh_per_year,SMALL_AREA_2011,COUNTYNAME,ID,Property Use,Benchmark,Industrial,estimated_fossil_fuel_mwh_per_year,estimated_electricity_mwh_per_year,latitude,longitude,address,metered_fossil_fuel_mwh_per_year,metered_electricity_mwh_per_year
industrial,,,250,,,30422602.38,0,30422602.38,,Dublin 11,2168461,GENERATING STATION,Engineering,1,59.985,36.765,53.41282056,-6.325132102,"Huntstown Power station , Finglas, Dublin 11",30422602.38,0
industrial,,,190,,,6535679.745,5475843.533,12011523.28,,Dublin 4,2171082,GENERATING STATION,Engineering,1,45.5886,27.9414,53.33981489,-6.205546408,"Pigeon House Road, Dublin 4",6535679.745,5475843.533
industrial,,,250,,,2778244.103,0,2778244.103,,Dublin 11,2197531,GENERATING STATION,Engineering,1,59.985,36.765,53.41282056,-6.325132102,"Huntstown, Finglas, Dublin 11",2778244.103,0
data_centre,,,,,,0,1856563.712,1856563.712,,Dublin 22,,DATA CENTRE,Data Centre,,,,53.31706,-6.45599,Grange Castle,,
industrial,,,190,,,1519877.785,17759,1537636.785,,Dublin 4,2172437,GENERATING STATION,Engineering,1,45.5886,27.9414,53.34089614,-6.205191928,"Pigeon House Road, Ringsend, Dublin 4, D04 XD82",1519877.785,17759
data_centre,,,,,,0,1351388.743,1351388.743,,Dublin 11/15,,DATA CENTRE,Data Centre,,,,53.40538,-6.37072,Blanchardstown,,
industrial,,,6945,,,518332.3696,10782.7,529115.0696,,Dublin 15,570300,FACTORY (PHARMACEUTICAL),Laboratories,1,6687.0627,4098.5223,53.41361466,-6.425111769,"Damastown Industrial Estate, Mulhuddart, Dublin 15, D15 YE36",518332.3696,10782.7
data_centre,,,,,,0,391604.5284,391604.5284,,Dublin 24,,DATA CENTRE,Data Centre,,,,53.29397,-6.34959,Tallaght,,
data_centre,,,,,,0,366299.1397,366299.1397,,Co. Dublin,,DATA CENTRE,Data Centre,,,,53.4018,-6.21754,Clonshaugh,,
data_centre,,,,,,0,347480.3486,347480.3486,,Dublin 22,,DATA CENTRE,Data Centre,,,,53.32986,-6.38269,Clondalkin,,
industrial,,,2675,,,198650,10281,208931,,Dublin 22,2174969,FACTORY (PHARMACEUTICAL),Laboratories,1,2575.6505,1578.6245,53.32457639,-6.442797075,Grange Castle Business Park Nangor Road Dublin 22,198650,10281
industrial,,,87915,,,84649.8369,51882.1581,136531.995,,Dublin 22,2170886,PHARMACEUTICAL,Laboratories,1,84649.8369,51882.1581,53.32615038,-6.435991721,,,
data_centre,,,,,,0,63682.55802,63682.55802,,Dublin 24,,DATA CENTRE,Data Centre,,,,53.29182,-6.41536,CityWest,,
industrial,,,30724,,,18990.0468,24856.04,43846.0868,,Co. Dublin,331625,FACTORY,Manufacturing (general),1,7733.84528,4740.09872,53.27088239,-6.150886833,"Pottery Road, Dun Laoghaire, Dublin",18990.0468,24856.04
data_centre,,,,,,0,41366.70816,41366.70816,,Dublin 15,,DATA CENTRE,Data Centre,,,,53.41874,-6.41633,Clonee,,
public_sector,,,,,,40442.66077,0,40442.66077,,Dublin 4,,,Schools and seasonal public buildings,,,,53.3081294,-6.2270405,university college dublin belfield main transmission supply dublin 4 ireland,40442.66077,0
industrial,,,45632,,,17826.23423,18639.07,36465.30423,,Dublin 5,729556,FACTORY,Manufacturing (general),1,11486.48704,7040.10496,53.39128372,-6.199625221,"Malahide rd., Coolock, Dublin 5",17826.23423,18639.07
public_sector,,,,,,17988.29375,17042.30486,35030.59861,,Dublin 9,,,Schools and seasonal public buildings,,,,53.3864895,-6.259260731,dublin city university dcu glasnevin campus dublin 9 ireland,17988.29375,17042.30486
industrial,,,10579,,,19821.23756,12148.50044,31969.738,,Dublin 24,2166220,PRINTING WORKS,Paper,1,19821.23756,12148.50044,53.29183421,-6.412106489,,,
industrial,,,16845,,,2373.1164,28576,30949.1164,,Co. Dublin,331622,FACTORY,Manufacturing (general),1,4240.2234,2598.8466,53.27509876,-6.155762262,"Pottery Road, Dun Laoghaire, Co. Dublin.",2373.1164,28576
commercial,,,55897,,,23476.74,5030.73,28507.47,,Dublin 24,475944,HOSPITAL,Hospital (clinical and research),,23476.74,5030.73,53.29156674,-6.379295874,,,
industrial,,,17486,,,16836.56996,10319.18804,27155.758,,Dublin 12,755342,FACTORY (PHARMACEUTICAL),Laboratories,1,16836.56996,10319.18804,53.31609828,-6.300449559,,,
industrial,,,18472,,,16262.7488,9967.4912,26230.24,,Co. Dublin,1141530,FOOD PREPARATION,Food (cold),1,16262.7488,9967.4912,53.45223405,-6.278239255,,,
industrial,,,16615,,,15997.9189,9805.1761,25803.095,,Co. Dublin,361520,FACTORY (PHARMACEUTICAL),Laboratories,1,15997.9189,9805.1761,53.46162449,-6.221862088,,,
public_sector,,,,,,0,25785.3489,25785.3489,,Dublin 4,,,Schools and seasonal public buildings,,,,53.3081294,-6.2270405,university college dublin belfield main mv supply dublin 4 ireland,0,25785.3489
data_centre,,,,,,0,24759.42267,24759.42267,,Dublin 10,,DATA CENTRE,Data Centre,,,,53.33431,-6.36549,Parkwest,,
public_sector,,,,,,0,23076.508,23076.508,,Dublin 8,,,Hospital (clinical and research),,,,53.3403134,-6.295352,saint jamess hospital energy centre dublin 8 ireland,0,23076.508
public_sector,,,,,,0,22208.35925,22208.35925,,Dublin 2,,,Schools and seasonal public buildings,,,,53.3434703,-6.2461704,trinity college dublin 188 pearse street dublin 2 ireland,0,22208.35925
commercial,,,113556,,,18168.96,3974.46,22143.42,,Co. Dublin,2189287,DISTRIBUTION CENTRE,Storage facility,,18168.96,3974.46,53.48709208,-6.185212151,,,
public_sector,,,,,,0,20295.908,20295.908,,Dublin 7,,,Hospital (clinical and research),,,,53.359998,-6.2654065,mater misericordiae university hospital mater hospital whitty building dublin 7 ireland,0,20295.908
industrial,,,13327,,,11733.0908,7191.2492,18924.34,,Co. Dublin,283581,FOOD PREPARATION,Food (cold),1,11733.0908,7191.2492,53.51562686,-6.354299081,,,
public_sector,,,,,,18870.15029,0,18870.15029,,Dublin 9,,,Hospital (clinical and research),,,,53.38888555,-6.225729928,beaumont hospital spring 100037 dublin 9 ireland,18870.15029,0
industrial,,,3367,,,16680.48,1789,18469.48,,Dublin 1,757155,ASHPHALT PLANT,Manufacturing (general),1,847.54124,519.46076,53.3515464,-6.220811458,"Alexandra Road, Dublin 1, Dublin",16680.48,1789
industrial,,,11614,,,10224.9656,6266.9144,16491.88,,Co. Dublin,2167354,FOOD PREPARATION,Food (cold),1,10224.9656,6266.9144,53.44590777,-6.282257248,,,
public_sector,,,,,,0,16126.356,16126.356,,Dublin 9,,,Hospital (clinical and research),,,,53.38888555,-6.225729928,beaumont hospital esb main incomer dublin 9 ireland,0,16126.356
public_sector,,,,,,16064.45944,0,16064.45944,,Dublin 15,,,Other (M&R),,,,53.3910621,-6.384261,sport ireland national aqautic centre dublin 15 ireland,16064.45944,0
public_sector,,,,,,0,15703.067,15703.067,,Dublin 4,,,Hospital (clinical and research),,,,53.31684145,-6.212795738,saint vincents university hospital svuh campus all blocks dublin 4 ireland,0,15703.067
industrial,,,10770,,,9481.908,5811.492,15293.4,,Dublin 15,295985,FACTORY (MEAT),Food (cold),1,9481.908,5811.492,53.41206847,-6.432973091,,,
public_sector,,,,,,15215.71533,0,15215.71533,,Dublin 12,,,Hospital (clinical and research),,,,53.31928705,-6.31738412,childrens health ireland  chi at crumlin boiler house dublin 12 ireland,15215.71533,0
industrial,,,10766,,,10154.7676,4993,15147.7676,,Dublin 15,295978,FACTORY (PHARMACEUTICAL),Laboratories,1,10366.15076,6353.44724,53.41295384,-6.421712677,"Damastown Industrial Park, Damastown Road, Mulhuddart, Dublin",10154.7676,4993
public_sector,,,,,,14716.45577,0,14716.45577,,Dublin 24,,,Hospital (clinical and research),,,,53.2911931,-6.378828006,tallaght university hospital tallaght hospital dublin 24 ireland,14716.45577,0
commercial,,,23725,,,9964.5,3558.75,13523.25,,Dublin 1,757049,THEATRE,Entertainment halls,,9964.5,3558.75,53.34713644,-6.228445511,,,
industrial,,,4435,,,8309.5934,5092.9766,13402.57,,Dublin 24,2161083,PRINTING WORKS,Paper,1,8309.5934,5092.9766,53.29119477,-6.434351478,,,
commercial,,,29611,,,9771.63,3109.155,12880.785,,Dublin 24,1545454,HOTEL,Hotel,,9771.63,3109.155,53.28603599,-6.446662119,,,
industrial,,,8111,,,7809.75746,4786.62554,12596.383,,Dublin 13,381294,LABORATORY,Laboratories,1,7809.75746,4786.62554,53.39276643,-6.150113931,,,
public_sector,,,,,,0,12489.468,12489.468,,Dublin 4,,,Other (M&R),,,,53.31487195,-6.221692131,raidio teilifis eireann route donnybrook d4 dublin 4 ireland,0,12489.468
public_sector,,,,,,12472.20656,0,12472.20656,,Dublin 4,,,Hospital (clinical and research),,,,53.31684145,-6.212795738,"st vincents university hospital svuh campus block b,d,e,f,g,h,n,v &p dublin 4 ireland",12472.20656,0
industrial,,,29421,,,7405.85412,4539.07188,11944.926,,Co. Dublin,359268,FACTORY,Manufacturing (general),1,7405.85412,4539.07188,53.44947758,-6.207625083,,,
public_sector,,,,,,0,11861.43154,11861.43154,,Dublin 24,,,Hospital (clinical and research),,,,53.2911931,-6.378828006,tallaght university hospital tallaght hospital talaght dublin 24 ireland,0,11861.43154
industrial,,,28444,,,7159.92368,4388.34032,11548.264,,Dublin 24,471570,FACTORY,Manufacturing (general),1,7159.92368,4388.34032,53.29502442,-6.366877121,,,
industrial,,,7162,,,6896.00332,4226.58268,11122.586,,Dublin 15,1141454,FACTORY (PHARMACEUTICAL),Laboratories,1,6896.00332,4226.58268,53.41044385,-6.421511087,,,
industrial,,,203,,,5364.1076,5731.9,11096.0076,,Dublin 15,2171054,FACTORY (PHARMACEUTICAL),Laboratories,1,195.46058,119.79842,53.41311874,-6.376422899,"Blanchardstown Industrial Park, Blanchardstown, Dublin 15",5364.1076,5731.9
commercial,,,21313,,,8951.46,1918.17,10869.63,,Dublin 18,2187634,HOSPITAL,Hospital (clinical and research),,8951.46,1918.17,53.27593089,-6.219931522,,,
industrial,,,3591,,,6728.24124,4123.76076,10852.002,,Dublin 24,477969,PRINTING WORKS,Paper,1,6728.24124,4123.76076,53.29513544,-6.352549864,,,
commercial,,,24926,,,8225.58,2617.23,10842.81,,Co. Dublin,2185677,HOTEL,Hotel,,8225.58,2617.23,53.41177483,-6.217655483,,,
commercial,,,24251,,,8002.83,2546.355,10549.185,,Dublin 4,843530,HOTEL,Hotel,,8002.83,2546.355,53.33216192,-6.233910036,,,
industrial,,,2956,,,7159.91324,3356,10515.91324,,Dublin 10,601644,FACTORY,Manufacturing (general),1,744.08432,456.05168,53.33608238,-6.349288625,"Kylemore Park North, Ballyfermot, Dublin 10",7159.91324,3356
commercial,,,23911,,,7890.63,2510.655,10401.285,,Dublin 4,2164027,HOTEL,Hotel,,7890.63,2510.655,53.32672601,-6.226316786,,,
commercial,,,23843,,,7868.19,2503.515,10371.705,,Dublin 2,838413,HOTEL,Hotel,,7868.19,2503.515,53.3389824,-6.256045006,,,
